,Recency(Days),Frequency,Monetary,,,,,,
count,2500,2500,2500,,,,,,
mean,26.576,110.2168,3222.985232,,,DESCRIPTION,nb_campaign,avg_duration,
std,62.79167255,115.2715369,3349.026076,,,0,TypeA,5,47.2
min,1,1,8.17,,,1,TypeB,19,37.631579
25%,2,38,970.74,,,2,TypeC,6,74.5
50%,7,78,2157.75,,,,,,
75%,21,142,4413.32,,,,,,
max,658,1298,38319.79,,,,,,
,,,,,,,SALES_VALUE,COUPON_DISC,COUPON_MATCH_DISC
,,,,,,count,276484,276484,276484
,SALES_VALUE,QUANTITY,,mean,29.14,-0.15,-0.03,,
count,156376,156376,,std,36.1,0.99,0.24,,
mean,47.43,22.17,,min,0,-74.89,-15.95,,
std,69.63,141.02,,25%,6.96,0,0,,
min,0,0,,50%,17.07,0,0,,
25%,9.98,3,,75%,36.28,0,0,,
50%,25.85,9,,max,961.49,0,0,,
75%,56.72,25,,,,,,,
max,1300.29,30093,,,,,,,
